country_code;year;value
THA;2018;13000.0
GBR;2018;
TLS;2018;100.0
TGO;2018;3800.0
TON;2018;
TTO;2018;500.0
TUN;2018;500.0
TUR;2018;
TKM;2018;
TUV;2018;
UGA;2018;23000.0
UKR;2018;4600.0
ARE;2018;
TZA;2018;37000.0
USA;2018;7800.0
URY;2018;500.0
UZB;2018;740.0
VUT;2018;
VEN;2018;3100.0
VNM;2018;3900.0
YEM;2018;500.0
ZMB;2018;23000.0
ZWE;2018;25000.0
AFG;2017;500.0
ALB;2017;100.0
DZA;2017;500.0
AND;2017;
AGO;2017;16000.0
ATG;2017;
ARG;2017;1300.0
ARM;2017;
AUS;2017;100.0
AUT;2017;
AZE;2017;500.0
BHS;2017;200.0
BHR;2017;100.0
BGD;2017;500.0
BRB;2017;100.0
BLR;2017;500.0
BEL;2017;
BLZ;2017;200.0
BEN;2017;2100.0
BTN;2017;100.0
BOL;2017;720.0
BIH;2017;
BWA;2017;5000.0
BRA;2017;14000.0
BRN;2017;
BGR;2017;100.0
BFA;2017;3200.0
BDI;2017;2300.0
CPV;2017;100.0
KHM;2017;1700.0
CMR;2017;22000.0
CAN;2017;
CAF;2017;4400.0
TCD;2017;4300.0
CHL;2017;
CHN;2017;
COL;2017;2900.0
COM;2017;100.0
COG;2017;6400.0
COK;2017;
CRI;2017;200.0
CIV;2017;18000.0
HRV;2017;100.0
CUB;2017;500.0
CYP;2017;100.0
CZE;2017;
PRK;2017;
COD;2017;27000.0
DNK;2017;100.0
DJI;2017;500.0
DMA;2017;
DOM;2017;2900.0
ECU;2017;650.0
EGY;2017;510.0
SLV;2017;620.0
GNQ;2017;2200.0
ERI;2017;500.0
EST;2017;
SWZ;2017;3200.0
ETH;2017;15000.0
FJI;2017;100.0
FIN;2017;
FRA;2017;660.0
GAB;2017;1900.0
GMB;2017;1200.0
GEO;2017;100.0
DEU;2017;500.0
GHA;2017;17000.0
GRC;2017;100.0
GRD;2017;
GTM;2017;1200.0
GIN;2017;4600.0
GNB;2017;1800.0
GUY;2017;200.0
HTI;2017;2800.0
HND;2017;870.0
HUN;2017;
ISL;2017;100.0
IND;2017;79000.0
IDN;2017;25000.0
IRN;2017;4300.0
IRQ;2017;
IRL;2017;100.0
ISR;2017;
ITA;2017;740.0
JAM;2017;790.0
JPN;2017;
JOR;2017;
KAZ;2017;200.0
KEN;2017;26000.0
KIR;2017;
KWT;2017;
KGZ;2017;500.0
LAO;2017;500.0
LVA;2017;100.0
LBN;2017;100.0
LSO;2017;6500.0
LBR;2017;2100.0
LBY;2017;100.0
LTU;2017;100.0
LUX;2017;100.0
MDG;2017;1900.0
MWI;2017;19000.0
MYS;2017;1600.0
MDV;2017;
MLI;2017;5000.0
MLT;2017;
MHL;2017;
MRT;2017;570.0
MUS;2017;
MEX;2017;5300.0
FSM;2017;
MCO;2017;
MNG;2017;100.0
MNE;2017;100.0
MAR;2017;600.0
MOZ;2017;
MMR;2017;8900.0
NAM;2017;3500.0
NRU;2017;
NPL;2017;860.0
NLD;2017;100.0
NZL;2017;100.0
NIC;2017;500.0
NER;2017;1300.0
NGA;2017;58000.0
NIU;2017;
MKD;2017;
NOR;2017;100.0
OMN;2017;100.0
PAK;2017;6700.0
PLW;2017;
PAN;2017;
PNG;2017;520.0
PRY;2017;500.0
PER;2017;1400.0
PHL;2017;650.0
POL;2017;
PRT;2017;500.0
QAT;2017;100.0
KOR;2017;
MDA;2017;540.0
ROU;2017;500.0
RUS;2017;
RWA;2017;3400.0
KNA;2017;
LCA;2017;
VCT;2017;
WSM;2017;
SMR;2017;
STP;2017;
SAU;2017;
SEN;2017;1800.0
SRB;2017;100.0
SYC;2017;
SLE;2017;4100.0
SGP;2017;100.0
SVK;2017;100.0
SVN;2017;
SLB;2017;
SOM;2017;570.0
ZAF;2017;75000.0
SSD;2017;8900.0
ESP;2017;830.0
LKA;2017;200.0
SDN;2017;2300.0
SUR;2017;200.0
SWE;2017;
CHE;2017;200.0
SYR;2017;100.0
TJK;2017;200.0
THA;2017;14000.0
GBR;2017;
TLS;2017;100.0
TGO;2017;4100.0
TON;2017;
TTO;2017;500.0
TUN;2017;200.0
TUR;2017;
TKM;2017;
TUV;2017;
UGA;2017;25000.0
UKR;2017;5800.0
ARE;2017;
TZA;2017;39000.0
USA;2017;7900.0
URY;2017;500.0
UZB;2017;840.0
VUT;2017;
VEN;2017;2000.0
VNM;2017;4200.0
YEM;2017;500.0
ZMB;2017;21000.0
ZWE;2017;27000.0
AFG;2016;500.0
ALB;2016;100.0
DZA;2016;200.0
AND;2016;
AGO;2016;15000.0
ATG;2016;
ARG;2016;1300.0
ARM;2016;
AUS;2016;100.0
AUT;2016;
AZE;2016;500.0
BHS;2016;200.0
BHR;2016;100.0
BGD;2016;500.0
BRB;2016;100.0
BLR;2016;500.0
BEL;2016;
BLZ;2016;200.0
BEN;2016;2300.0
BTN;2016;100.0
BOL;2016;810.0
BIH;2016;
BWA;2016;5200.0
BRA;2016;15000.0
BRN;2016;
BGR;2016;100.0
BFA;2016;3400.0
BDI;2016;2700.0
CPV;2016;100.0
KHM;2016;1900.0
CMR;2016;24000.0
CAN;2016;
CAF;2016;4800.0
TCD;2016;4300.0
CHL;2016;
CHN;2016;
COL;2016;3300.0
COM;2016;100.0
COG;2016;6300.0
COK;2016;
CRI;2016;200.0
CIV;2016;19000.0
HRV;2016;100.0
CUB;2016;500.0
CYP;2016;100.0
CZE;2016;
PRK;2016;
COD;2016;31000.0
DNK;2016;100.0
DJI;2016;500.0
DMA;2016;
DOM;2016;2800.0
ECU;2016;800.0
EGY;2016;500.0
SLV;2016;630.0
GNQ;2016;2200.0
ERI;2016;500.0
EST;2016;
SWZ;2016;3200.0
ETH;2016;16000.0
FJI;2016;100.0
FIN;2016;
FRA;2016;620.0
GAB;2016;1900.0
GMB;2016;1200.0
GEO;2016;100.0
DEU;2016;500.0
GHA;2016;16000.0
GRC;2016;100.0
GRD;2016;
GTM;2016;1300.0
GIN;2016;4500.0
GNB;2016;1900.0
GUY;2016;200.0
HTI;2016;3300.0
HND;2016;930.0
HUN;2016;
ISL;2016;100.0
IND;2016;91000.0
IDN;2016;25000.0
IRN;2016;4500.0
IRQ;2016;
IRL;2016;100.0
ISR;2016;
ITA;2016;730.0
JAM;2016;820.0
JPN;2016;
JOR;2016;
KAZ;2016;200.0
KEN;2016;30000.0
KIR;2016;
KWT;2016;
KGZ;2016;500.0
LAO;2016;500.0
LVA;2016;500.0
LBN;2016;100.0
LSO;2016;7300.0
LBR;2016;2300.0
LBY;2016;100.0
LTU;2016;100.0
LUX;2016;100.0
MDG;2016;1600.0
MWI;2016;20000.0
MYS;2016;2300.0
MDV;2016;
MLI;2016;5200.0
MLT;2016;
MHL;2016;
MRT;2016;570.0
MUS;2016;
MEX;2016;5600.0
FSM;2016;
MCO;2016;
MNG;2016;100.0
MNE;2016;100.0
MAR;2016;660.0
MOZ;2016;
MMR;2016;9400.0
NAM;2016;3500.0
NRU;2016;
NPL;2016;860.0
NLD;2016;100.0
NZL;2016;100.0
NIC;2016;500.0
NER;2016;1500.0
NGA;2016;58000.0
NIU;2016;
MKD;2016;
NOR;2016;100.0
OMN;2016;100.0
PAK;2016;6000.0
PLW;2016;
PAN;2016;
PNG;2016;520.0
PRY;2016;500.0
PER;2016;1600.0
PHL;2016;570.0
POL;2016;
PRT;2016;500.0
QAT;2016;100.0
KOR;2016;
MDA;2016;570.0
ROU;2016;500.0
RUS;2016;
RWA;2016;3600.0
KNA;2016;
LCA;2016;
VCT;2016;
WSM;2016;
SMR;2016;
STP;2016;
SAU;2016;
SEN;2016;2000.0
SRB;2016;100.0
SYC;2016;
SLE;2016;4300.0
SGP;2016;100.0
SVK;2016;100.0
SVN;2016;
SLB;2016;
SOM;2016;650.0
ZAF;2016;82000.0
SSD;2016;8900.0
ESP;2016;870.0
LKA;2016;200.0
SDN;2016;2500.0
SUR;2016;200.0
SWE;2016;
CHE;2016;200.0
SYR;2016;100.0
TJK;2016;200.0
THA;2016;16000.0
GBR;2016;
TLS;2016;100.0
TGO;2016;4500.0
TON;2016;
TTO;2016;500.0
TUN;2016;200.0
TUR;2016;
TKM;2016;
TUV;2016;
UGA;2016;27000.0
UKR;2016;9200.0
ARE;2016;
TZA;2016;41000.0
USA;2016;8400.0
URY;2016;500.0
UZB;2016;970.0
VUT;2016;
VEN;2016;2100.0
VNM;2016;4300.0
YEM;2016;500.0
ZMB;2016;22000.0
ZWE;2016;28000.0
AFG;2015;500.0
ALB;2015;100.0
DZA;2015;200.0
AND;2015;
AGO;2015;15000.0
ATG;2015;
ARG;2015;1300.0
ARM;2015;
AUS;2015;100.0
AUT;2015;
AZE;2015;510.0
BHS;2015;200.0
BHR;2015;100.0
BGD;2015;500.0
BRB;2015;100.0
BLR;2015;500.0
BEL;2015;
BLZ;2015;200.0
BEN;2015;2500.0
BTN;2015;100.0
BOL;2015;980.0
BIH;2015;
BWA;2015;5000.0
BRA;2015;16000.0
BRN;2015;
BGR;2015;100.0
BFA;2015;3900.0
BDI;2015;3200.0
CPV;2015;100.0
KHM;2015;2000.0
CMR;2015;25000.0
CAN;2015;
CAF;2015;5600.0
TCD;2015;4300.0
CHL;2015;
CHN;2015;
COL;2015;3800.0
COM;2015;100.0
COG;2015;6100.0
COK;2015;
CRI;2015;500.0
CIV;2015;21000.0
HRV;2015;100.0
CUB;2015;500.0
CYP;2015;100.0
CZE;2015;
PRK;2015;
COD;2015;35000.0
DNK;2015;100.0
DJI;2015;610.0
DMA;2015;
DOM;2015;2900.0
ECU;2015;1000.0
EGY;2015;500.0
SLV;2015;560.0
GNQ;2015;1900.0
ERI;2015;500.0
EST;2015;
SWZ;2015;3500.0
ETH;2015;16000.0
FJI;2015;100.0
FIN;2015;
FRA;2015;600.0
GAB;2015;1800.0
GMB;2015;1200.0
GEO;2015;100.0
DEU;2015;500.0
GHA;2015;17000.0
GRC;2015;100.0
GRD;2015;
GTM;2015;1200.0
GIN;2015;4400.0
GNB;2015;1900.0
GUY;2015;200.0
HTI;2015;3600.0
HND;2015;1000.0
HUN;2015;
ISL;2015;100.0
IND;2015;98000.0
IDN;2015;24000.0
IRN;2015;4700.0
IRQ;2015;
IRL;2015;100.0
ISR;2015;
ITA;2015;730.0
JAM;2015;810.0
JPN;2015;
JOR;2015;
KAZ;2015;500.0
KEN;2015;35000.0
KIR;2015;
KWT;2015;
KGZ;2015;500.0
LAO;2015;500.0
LVA;2015;500.0
LBN;2015;100.0
