 country_code, year, value 
 TZA, 2018, 1108728.0 
 USA, 2018,  
 URY, 2018, 8178.0 
 UZB, 2018, 26733.0 
 VUT, 2018,  
 VEN, 2018, 28354.0 
 VNM, 2018, 149949.0 
 YEM, 2018, 2326.0 
 ZMB, 2018, 969493.0 
 ZWE, 2018, 1084413.0 
 AFG, 2017, 847.0 
 ALB, 2017, 568.0 
 DZA, 2017, 11044.0 
 AND, 2017,  
 AGO, 2017, 78721.0 
 ATG, 2017,  
 ARG, 2017, 80508.0 
 ARM, 2017,  
 AUS, 2017, 22021.0 
 AUT, 2017,  
 AZE, 2017, 3658.0 
 BHS, 2017, 2969.0 
 BHR, 2017, 137.0 
 BGD, 2017, 2470.0 
 BRB, 2017, 1271.0 
 BLR, 2017, 11242.0 
 BEL, 2017,  
 BLZ, 2017, 1417.0 
 BEN, 2017, 38360.0 
 BTN, 2017, 329.0 
 BOL, 2017, 7556.0 
 BIH, 2017,  
 BWA, 2017, 285983.0 
 BRA, 2017, 556192.0 
 BRN, 2017,  
 BGR, 2017, 1204.0 
 BFA, 2017, 64076.0 
 BDI, 2017, 60115.0 
 CPV, 2017, 1809.0 
 KHM, 2017, 56668.0 
 CMR, 2017, 253715.0 
 CAN, 2017,  
 CAF, 2017, 36703.0 
 TCD, 2017, 51868.0 
 CHL, 2017, 39088.0 
 CHN, 2017, 609829.0 
 COL, 2017, 75745.0 
 COM, 2017, 50.0 
 COG, 2017, 23595.0 
 COK, 2017,  
 CRI, 2017, 6960.0 
 CIV, 2017, 230463.0 
 HRV, 2017, 1127.0 
 CUB, 2017, 19466.0 
 CYP, 2017, 741.0 
 CZE, 2017,  
 PRK, 2017,  
 COD, 2017, 213995.0 
 DNK, 2017, 5447.0 
 DJI, 2017, 2454.0 
 DMA, 2017,  
 DOM, 2017, 29708.0 
 ECU, 2017, 21526.0 
 EGY, 2017, 4753.0 
 SLV, 2017, 11780.0 
 GNQ, 2017, 20563.0 
 ERI, 2017, 8795.0 
 EST, 2017,  
 SWZ, 2017, 174103.0 
 ETH, 2017, 437532.0 
 FJI, 2017, 274.0 
 FIN, 2017,  
 FRA, 2017, 142261.0 
 GAB, 2017, 22716.0 
 GMB, 2017, 6773.0 
 GEO, 2017, 4144.0 
 DEU, 2017,  
 GHA, 2017, 102684.0 
 GRC, 2017, 9220.0 
 GRD, 2017,  
 GTM, 2017, 17872.0 
 GIN, 2017, 41508.0 
 GNB, 2017, 11985.0 
 GUY, 2017, 5237.0 
 HTI, 2017, 94381.0 
 HND, 2017, 11506.0 
 HUN, 2017,  
 ISL, 2017, 226.0 
 IND, 2017, 1128845.0 
 IDN, 2017, 91369.0 
 IRN, 2017, 11279.0 
 IRQ, 2017,  
 IRL, 2017, 5251.0 
 ISR, 2017,  
 ITA, 2017, 108784.0 
 JAM, 2017, 11887.0 
 JPN, 2017, 24100.0 
 JOR, 2017,  
 KAZ, 2017, 11275.0 
 KEN, 2017, 1112750.0 
 KIR, 2017,  
 KWT, 2017,  
 KGZ, 2017, 3205.0 
 LAO, 2017, 5631.0 
 LVA, 2017, 2147.0 
 LBN, 2017, 1320.0 
 LSO, 2017, 201509.0 
 LBR, 2017, 11602.0 
 LBY, 2017, 3537.0 
 LTU, 2017, 781.0 
 LUX, 2017, 829.0 
 MDG, 2017, 2321.0 
 MWI, 2017, 750631.0 
 MYS, 2017, 35409.0 
 MDV, 2017, 17.0 
 MLI, 2017, 42078.0 
 MLT, 2017,  
 MHL, 2017,  
 MRT, 2017, 3021.0 
 MUS, 2017, 2690.0 
 MEX, 2017, 141270.0 
 FSM, 2017,  
 MCO, 2017,  
 MNG, 2017, 181.0 
 MNE, 2017, 140.0 
 MAR, 2017, 11635.0 
 MOZ, 2017, 1085027.0 
 MMR, 2017, 146826.0 
 NAM, 2017, 150850.0 
 NRU, 2017,  
 NPL, 2017, 15260.0 
 NLD, 2017, 19530.0 
 NZL, 2017, 2491.0 
 NIC, 2017, 4320.0 
 NER, 2017, 18425.0 
 NGA, 2017, 953613.0 
 NIU, 2017,  
 MKD, 2017,  
 NOR, 2017, 3788.0 
 OMN, 2017, 1190.0 
 PAK, 2017, 12046.0 
 PLW, 2017,  
 PAN, 2017,  
 PNG, 2017, 26393.0 
 PRY, 2017, 7833.0 
 PER, 2017, 49005.0 
 PHL, 2017, 24486.0 
 POL, 2017,  
 PRT, 2017, 35807.0 
 QAT, 2017, 96.0 
 KOR, 2017,  
 MDA, 2017, 5162.0 
 ROU, 2017, 11570.0 
 RUS, 2017, 354932.0 
 RWA, 2017, 185462.0 
 KNA, 2017,  
 LCA, 2017,  
 VCT, 2017,  
 WSM, 2017,  
 SMR, 2017,  
 STP, 2017,  
 SAU, 2017,  
 SEN, 2017, 23204.0 
 SRB, 2017, 1752.0 
 SYC, 2017,  
 SLE, 2017, 23693.0 
 SGP, 2017, 5423.0 
 SVK, 2017, 644.0 
 SVN, 2017, 593.0 
 SLB, 2017,  
 SOM, 2017, 2997.0 
 ZAF, 2017, 4628079.0 
 SSD, 2017, 23998.0 
 ESP, 2017, 122286.0 
 LKA, 2017, 1297.0 
 SDN, 2017, 7634.0 
 SUR, 2017, 2691.0 
 SWE, 2017,  
 CHE, 2017, 14409.0 
 SYR, 2017, 145.0 
 TJK, 2017, 4891.0 
 THA, 2017, 387181.0 
 GBR, 2017, 91808.0 
 TLS, 2017, 287.0 
 TGO, 2017, 59752.0 
 TON, 2017,  
 TTO, 2017, 6693.0 
 TUN, 2017, 920.0 
 TUR, 2017,  
 TKM, 2017, 0.0 
 TUV, 2017,  
 UGA, 2017, 950037.0 
 UKR, 2017, 104961.0 
 ARE, 2017,  
 TZA, 2017, 970362.0 
